"OrganizationIdentifier","OrganizationFormalName","ActivityStartDate","ActivityConductingOrganizationText","MonitoringLocationIdentifier","ActivityDepthHeightMeasure.MeasureValue","Variable","ResultMeasureValue","Month","Year"
"WIDNR_WQX","Wisconsin Department of Natural Resources",1996-06-20,"WIDNR_WQX","WIDNR_WQX-363069",1,"DO_mgL",3.51,6,1996
"WIDNR_WQX","Wisconsin Department of Natural Resources",1996-06-20,"WIDNR_WQX","WIDNR_WQX-363069",1,"NO23_mgL",1.8,6,1996
"WIDNR_WQX","Wisconsin Department of Natural Resources",1996-06-20,"WIDNR_WQX","WIDNR_WQX-363069",1,"Orthophosphate_mgL",0.165,6,1996
"WIDNR_WQX","Wisconsin Department of Natural Resources",1996-06-20,"WIDNR_WQX","WIDNR_WQX-363069",1,"pH",7.75,6,1996
"WIDNR_WQX","Wisconsin Department of Natural Resources",1996-06-20,"WIDNR_WQX","WIDNR_WQX-363069",1,"TP_mgL",NA,6,1996
"WIDNR_WQX","Wisconsin Department of Natural Resources",1997-01-27,"WIDNR_WQX","WIDNR_WQX-363069",1,"DO_mgL",6.3,1,1997
"WIDNR_WQX","Wisconsin Department of Natural Resources",1997-01-27,"WIDNR_WQX","WIDNR_WQX-363069",1,"NH3_mgL",0.414,1,1997
"WIDNR_WQX","Wisconsin Department of Natural Resources",1997-01-27,"WIDNR_WQX","WIDNR_WQX-363069",1,"NO23_mgL",2.57,1,1997
"WIDNR_WQX","Wisconsin Department of Natural Resources",1997-01-27,"WIDNR_WQX","WIDNR_WQX-363069",1,"Orthophosphate_mgL",0.117,1,1997
"WIDNR_WQX","Wisconsin Department of Natural Resources",1997-01-27,"WIDNR_WQX","WIDNR_WQX-363069",1,"pH",8.1,1,1997
"WIDNR_WQX","Wisconsin Department of Natural Resources",1997-01-27,"WIDNR_WQX","WIDNR_WQX-363069",1,"TKN_mgL",1.5,1,1997
"WIDNR_WQX","Wisconsin Department of Natural Resources",1997-01-27,"WIDNR_WQX","WIDNR_WQX-363069",1,"TP_mgL",0.153,1,1997
"WIDNR_WQX","Wisconsin Department of Natural Resources",1997-04-23,"WIDNR_WQX","WIDNR_WQX-363069",1,"DO_mgL",14,4,1997
"WIDNR_WQX","Wisconsin Department of Natural Resources",1997-04-23,"WIDNR_WQX","WIDNR_WQX-363069",1,"NH3_mgL",NA,4,1997
"WIDNR_WQX","Wisconsin Department of Natural Resources",1997-04-23,"WIDNR_WQX","WIDNR_WQX-363069",1,"NO23_mgL",0.555,4,1997
"WIDNR_WQX","Wisconsin Department of Natural Resources",1997-04-23,"WIDNR_WQX","WIDNR_WQX-363069",1,"Orthophosphate_mgL",0.029,4,1997
"WIDNR_WQX","Wisconsin Department of Natural Resources",1997-04-23,"WIDNR_WQX","WIDNR_WQX-363069",1,"pH",8.34,4,1997
"WIDNR_WQX","Wisconsin Department of Natural Resources",1997-04-23,"WIDNR_WQX","WIDNR_WQX-363069",1,"TKN_mgL",1.8,4,1997
"WIDNR_WQX","Wisconsin Department of Natural Resources",1997-04-23,"WIDNR_WQX","WIDNR_WQX-363069",1,"TP_mgL",0.156,4,1997
"WIDNR_WQX","Wisconsin Department of Natural Resources",1997-09-04,"WIDNR_WQX","WIDNR_WQX-363069",1,"DO_mgL",8.2,9,1997
"WIDNR_WQX","Wisconsin Department of Natural Resources",1997-09-04,"WIDNR_WQX","WIDNR_WQX-363069",1,"NH3_mgL",0.029,9,1997
"WIDNR_WQX","Wisconsin Department of Natural Resources",1997-09-04,"WIDNR_WQX","WIDNR_WQX-363069",1,"NO23_mgL",0.134,9,1997
"WIDNR_WQX","Wisconsin Department of Natural Resources",1997-09-04,"WIDNR_WQX","WIDNR_WQX-363069",1,"Orthophosphate_mgL",NA,9,1997
"WIDNR_WQX","Wisconsin Department of Natural Resources",1997-09-04,"WIDNR_WQX","WIDNR_WQX-363069",1,"TKN_mgL",1.3,9,1997
