"station","Date","Time","latitude","longitude","elevation","name","dailyaveragestationpressure","dailyaveragewindspeed","dailymaximumdrybulbtemperature","dailyminimumdrybulbtemperature","dailyprecipitation","dailyweather","Year","Month"
"72645594897",2014-01-01,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.65","11.1",10,-5,0,"SN BR",2014,1
"72645594897",2014-01-02,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.60","12.1",10,-2,0,"SN BR",2014,1
"72645594897",2014-01-03,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.41","12.2",20,-11,0,"SN",2014,1
"72645594897",2014-01-04,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.11","13.8",33,15,0,"",2014,1
"72645594897",2014-01-05,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.38","14.2",15,-1,0,"",2014,1
"72645594897",2014-01-06,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.31","18.6",-1,-16,0,"SN",2014,1
"72645594897",2014-01-07,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.43","12.7",1,-16,0,"SN",2014,1
"72645594897",2014-01-08,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.67","6.1",8,-11,0,"",2014,1
"72645594897",2014-01-09,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.61","5.8",27,-13,0,"BR",2014,1
"72645594897",2014-01-10,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.15","11.0",36,25,0.39,"RA BR UP",2014,1
"72645594897",2014-01-11,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","28.75","11.5",36,31,0,"RA SN BR UP",2014,1
"72645594897",2014-01-12,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","28.93","13.5",36,25,0,"BR",2014,1
"72645594897",2014-01-13,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","28.86","7.3",39,24,0,"RA UP",2014,1
"72645594897",2014-01-14,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","28.91","13.1",34,NA,0.01,"RA SN FG FZFG BR UP",2014,1
"72645594897",2014-01-15,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.20","12.2",NA,NA,0,"SN BR",2014,1
"72645594897",2014-01-16,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","28.82","10.9",33,15,0,"SN BR UP",2014,1
"72645594897",2014-01-17,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.08","11.6",25,13,0.01,"SN BR",2014,1
"72645594897",2014-01-18,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","29.14","5.3",NA,NA,0,"SN",2014,1
"72645594897",2014-01-19,"23:59:00",44.13333,-87.66667,198.4,"MANITOWOC, WI US","28.84","9.4",32,11,0,"SN BR",2014,1
