"Year","Month","monthlyprecipitation","avgmonthlymaxtemp","avgmonthlymintemp"
2014,1,0.42,20.9130434782609,2.04
2014,2,0.3,21.48,2.4
2014,3,0.59,33.3703703703704,15.7307692307692
2014,4,4.67,48.7916666666667,32.304347826087
2014,5,2.59,61.9230769230769,43.9166666666667
2014,10,2.31,54.8571428571429,43.7142857142857
2014,11,1.67,36.5769230769231,23.08
2014,12,0.18,35.3333333333333,21.9230769230769
2015,1,0.07,17.2222222222222,2.22222222222222
2015,3,0.61,41.6666666666667,23.0833333333333
2015,4,2.16,51.25,34.28
2015,5,2.83,65.7142857142857,43.9523809523809
2015,7,0.84,78.05,58.25
2015,8,0.15,77.7647058823529,61.2352941176471
2015,9,0.02,73.3636363636364,57.6363636363636
2015,10,0.65,61.6363636363636,42.4545454545455
2015,11,0.73,55.8,36.9333333333333
2015,12,4.15,42.6875,31.875
2016,1,0.2,33.625,19.8888888888889
2016,2,0.28,33,18.125
2016,3,3.16,42.9,29.3103448275862
2016,4,1.23,48.1,32.8
2016,5,1.96,63.4827586206897,43.9285714285714
2016,6,3.26,73.75,56.2692307692308
2016,8,0.01,81.5,62.75
2016,9,0.08,73,NA
2016,10,0.4,61,42
2016,11,0.08,59.8461538461538,38.6153846153846
2016,12,0.27,37.2,31.8
2017,1,2.1,29.4814814814815,18.1851851851852
2017,2,0.89,37.2916666666667,21.6666666666667
2017,3,0.92,37.3225806451613,24.1333333333333
2017,4,2.26,55.9047619047619,37.0476190476191
2017,5,3.37,60.6538461538462,42.8076923076923
2017,6,5.4,76.4583333333333,56.8695652173913
2017,7,1.79,78.3,60.5789473684211
2017,8,0,64,53
2017,9,1.1,72.3333333333333,52.7083333333333
2017,10,2.7,59.5862068965517,45.1428571428571
2017,11,1.22,42.3076923076923,27.5384615384615
2017,12,0.74,27.2142857142857,12.9642857142857
2018,1,1.02,27.9310344827586,13.2413793103448
2018,2,0.74,30.6785714285714,14.2
2018,3,0.56,37.92,23.6666666666667
2018,4,1.95,43.3,26.3333333333333
2018,5,3.47,67.2857142857143,45.5263157894737
2018,6,4.04,72.7931034482759,55.8928571428571
2018,7,3.87,77.9655172413793,60.1785714285714
2018,8,6.23,77.6153846153846,60.2692307692308
2018,9,3.39,70.4827586206897,53
2018,10,3.1,54.4642857142857,38.1153846153846
2018,11,0.93,35.8214285714286,25.9285714285714
2018,12,2.09,34.8666666666667,23.0333333333333
2019,1,0.9,23.6666666666667,9.13333333333333
2019,2,1.44,28.4615384615385,10.2692307692308
2019,3,1.09,36.8571428571429,18.8275862068966
2019,4,3.06,50.4444444444444,34.2142857142857
2019,5,4.5,59.8571428571429,41.9642857142857
2019,6,3.75,72.6666666666667,NA
2019,7,2.3,78.9259259259259,61.16
2019,8,4.77,74.448275862069,56.9259259259259
2019,9,5.31,70.1851851851852,55.1851851851852
2019,10,4.64,53.0384615384615,37.8846153846154
2019,11,0.55,34.4210526315789,23.4705882352941
2019,12,2.08,36.7307692307692,21.9090909090909
2020,1,0.73,34.875,22.0454545454545
2020,2,0.44,31.1785714285714,14.88
2020,3,3.99,41.0689655172414,27.5
2020,4,1.82,47.7666666666667,31.625
2020,5,5.68,60.3225806451613,43.0416666666667
2020,6,3.02,74.6428571428571,54.4230769230769
2020,7,7.13,79.9615384615385,64.1363636363636
2020,8,2.14,77.7666666666667,60.4
2020,9,0.92,68.5454545454545,50.7368421052632
2020,10,0.71,53.5,35.76
2020,11,2.53,50,32.8571428571429
2020,12,0.35,33.5714285714286,20.8947368421053
2021,1,0.65,32.3846153846154,19.5555555555556
2021,2,0.17,24.8518518518519,8.25
2021,3,0.85,41.5714285714286,28.2222222222222
2021,4,0.31,54.0625,39.8181818181818
2021,5,2.44,62.8076923076923,43.0909090909091
2021,6,0.27,75.8125,57.7142857142857
2021,7,5.83,76.8,59.3333333333333
2021,8,8.05,78.5217391304348,62.6
2021,9,0.01,72,58
2021,10,2.83,61.2142857142857,47.8518518518519
2021,11,0.75,40.8333333333333,25.7333333333333
2021,12,1.34,36.6190476190476,22.1764705882353
